host_time,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta
1788561463.698852,ENC,46310,1,,79,77
1788561463.7187395,ENC,46330,1,,79,77
1788561463.7386386,ENC,46350,1,,79,76
1788561463.7584808,ENC,46370,1,,79,76
1788561463.7784796,ENC,46390,1,,79,76
1788561463.798323,ENC,46410,1,,78,77
1788561463.8184052,ENC,46430,1,,78,76
1788561463.8380802,ENC,46450,1,,79,77
1788561463.8580112,ENC,46470,1,,79,76
1788561463.8778884,ENC,46490,1,,79,78
1788561463.898077,ENC,46510,1,,79,78
1788561463.9176981,ENC,46530,1,,79,77
1788561463.9375937,ENC,46550,1,,79,77
1788561463.9574852,ENC,46570,1,,80,77
1788561463.9773831,ENC,46590,1,,80,77
1788561463.9972131,ENC,46610,0,,72,72
1788561464.0170662,ENC,46630,0,,55,55
1788561464.0369759,ENC,46650,0,,40,41
1788561464.0568995,ENC,46670,0,,29,32
1788561464.0768147,ENC,46690,0,,23,25
1788561464.0967572,ENC,46710,0,,17,19
1788561464.1165957,ENC,46730,0,,12,16
1788561464.1364973,ENC,46750,0,,11,14
1788561464.1562796,ENC,46770,0,,8,9
1788561464.1761243,ENC,46790,0,,6,7
1788561464.1960604,ENC,46810,0,,3,4
1788561464.2159436,ENC,46830,0,,1,1
1788561464.2358098,ENC,46850,0,,1,0
1788561464.2557251,ENC,46870,0,,0,0
1788561464.2755888,ENC,46890,0,,0,0
1788561464.295598,ENC,46910,0,,0,0
1788561464.3153973,ENC,46930,0,,0,0
1788561464.3352995,ENC,46950,0,,0,0
1788561464.3551772,ENC,46970,0,,0,0
1788561464.3751175,ENC,46990,0,,0,0
1788561464.3950014,ENC,47010,0,,0,0
1788561464.4148757,ENC,47030,0,,0,0
1788561464.4347541,ENC,47050,0,,0,0
1788561464.4546778,ENC,47070,0,,0,0
1788561464.4745262,ENC,47090,0,,0,0
1788561464.4945352,ENC,47110,0,,0,0
1788561464.5143611,ENC,47130,0,,0,0
1788561464.5342762,ENC,47150,0,,0,0
1788561464.5541449,ENC,47170,0,,0,0
1788561464.5741572,ENC,47190,0,,0,0
1788561464.5939853,ENC,47210,0,,0,0
1788561464.6138744,ENC,47230,0,,0,0
1788561464.6337738,ENC,47250,0,,0,0
1788561464.6537306,ENC,47270,0,,0,0
1788561464.673536,ENC,47290,0,,0,0
1788561464.693604,ENC,47310,0,,0,0
1788561464.7134087,ENC,47330,0,,0,0
1788561464.7332811,ENC,47350,0,,0,0
1788561464.7531993,ENC,47370,0,,0,0
